URL,Size,OutLinks,ContentType
https://www.usatoday.com/story/entertainment/celebrities/2020/02/23/clint-eastwood-shows-support-michael-bloomberg-2020-election/4850106002/,115293,138,text/html
https://www.usatoday.com/story/entertainment/tv/2020/02/19/hunters-review-killing-nazis-comes-first-rest-later/4805179002/,124006,137,text/html
https://www.usatoday.com/story/entertainment/celebrities/2020/02/22/steve-irwin-brithday-family-shares-posts-tribute/4842578002/,120558,145,text/html
https://www.usatoday.com/story/entertainment/books/2020/02/22/new-books-colum-mccann-apeirogon-splendid-vile-churchill/4831740002/,115341,136,text/html
https://www.usatoday.com/story/entertainment/tv/2020/02/22/fresh-off-the-boat-series-finale-recap-review-commencement-spoilers/4818574002/,121662,141,text/html
https://www.usatoday.com/story/entertainment/movies/2020/02/23/sonic-the-hedgehog-makes-room-call-of-wild-box-office/4851137002/,119599,144,text/html
https://www.usatoday.com/story/entertainment/books/2020/02/22/former-ukraine-diplomat-marie-yovanovitch-has-book-deal/4841519002/,115333,138,text/html
https://www.usatoday.com/story/entertainment/2020/02/22/aspiring-youth-filmmakers-earn-version-oscars-gold-cleveland-ohio/4841446002/,121035,140,text/html
https://www.usatoday.com/videos/entertainment/celebrities/2020/02/23/b-smith-model-and-tv-personality-dies-70-after-alzheimers-battle/4851485002/,153847,112,text/html
https://www.usatoday.com/picture-gallery/entertainment/movies/2020/01/29/ranked-best-horror-movies-of-2020/4593553002/,157159,110,text/html
https://www.usatoday.com/story/entertainment/celebrities/2020/02/22/lizzo-nyongo-eddie-murphy-vying-naacp-image-awards/4843362002/,111027,134,text/html
https://www.usatoday.com/story/travel/advice/2019/11/08/why-economy-passengers-should-stop-reclining-their-airline-seats/4158135002/,131495,141,text/html
https://www.usatoday.com/story/travel/airline-news/2020/02/14/american-airlines-seat-fight-goes-viral-wrong-recline/4759519002/,136195,155,text/html
https://www.usatoday.com/story/news/nation/2020/01/02/blue-help-228-police-suicides-2019-highest-total/2799876001/,122071,142,text/html
https://www.usatoday.com/story/entertainment/music/2020/01/31/meghan-trainor-how-her-therapist-inspired-treat-myself-album/4614563002/,124255,142,text/html
https://www.usatoday.com/story/life/music/2016/05/11/meghan-trainor-thank-you/84180934/,113036,139,text/html
https://www.usatoday.com/story/sports/nfl/2018/01/05/nfl-commits-another-16-43-million-concussion-research/1007405001/,109836,135,text/html
https://www.usatoday.com/videos/sports/2019/12/28/police-were-warned-before-ex-packers-brothers-were-arrested/2760336001/,153368,112,text/html
https://www.usatoday.com/story/tech/news/2017/10/03/equifax-ex-ceo-faces-questions-why-its-internal-controls-failed/725756001/,125047,139,text/html
https://www.usatoday.com/story/news/nation/2020/01/01/joseph-henry-loveless-dismembered-body-found-idaho-identified-outlaw/2789895001/,115762,137,text/html
https://www.usatoday.com/story/news/2017/12/26/most-popular-new-years-resolution-2018-better-person-but-what-does-mean/981680001/,119391,142,text/html
https://www.usatoday.com/story/news/politics/2018/09/26/rod-rosenstein-testimony-mccabe-memos/1430710002/,111668,138,text/html
https://www.usatoday.com/story/opinion/2019/08/20/what-trump-doesnt-do-not-what-he-says-editorials-debates/2054540001/,106162,134,text/html
https://www.usatoday.com/videos/news/nation/2020/01/29/los-angeles-apartment-suspicious-fire-several-injured/4612287002/,153719,112,text/html
https://www.usatoday.com/story/money/taxes/2018/03/12/divorce-under-new-tax-law-may-get-more-complicated-getting-divorced-how-new-tax-bill-may-complicate/376837002/,112543,135,text/html
https://www.usatoday.com/story/news/nation/2019/06/13/flint-water-crisis-criminal-charges-dismissed/1446372001/,126612,147,text/html
https://www.usatoday.com/story/tech/news/2018/01/19/amazon-raises-monthly-prime-rate-annual-rate-stays-99/1046646001/,116883,135,text/html
https://www.usatoday.com/story/tech/columnist/2019/06/27/high-tech-upgrades-home/1572183001/,125131,151,text/html
https://www.usatoday.com/story/entertainment/movies/2019/10/09/ranked-will-smith-best-and-worst-movies/3903097002/,154784,143,text/html
https://www.usatoday.com/story/news/world/2018/01/02/six-days-iran-protests-least-20-dead-450-arrested/995096001/,120286,136,text/html
https://www.usatoday.com/story/tech/talkingtech/2018/03/06/netflixs-reed-hastings-no-interest-inclusion-riders-diversity/401606002/,110599,140,text/html
https://www.usatoday.com/story/money/food/2019/11/13/chicago-starbucks-reserve-roastery-open-magnificent-mile-nov-15/4099337002/,122684,146,text/html
https://www.usatoday.com/story/money/2019/03/13/consumer-protection-actions-cfpb-ftc-and-cpsc-decline-under-trump/3142905002/,122628,139,text/html
https://www.usatoday.com/story/tech/2018/05/07/uber-hires-senior-safety-official-after-deadly-arizona-self-driving-car-crash/587222002/,113433,138,text/html
https://www.usatoday.com/picture-gallery/money/2019/03/22/this-is-the-largest-employer-in-every-state/39237263/,177987,110,text/html
https://www.usatoday.com/story/sports/ncaab/westcoast/2020/02/22/upset-saturday-gonzaga-third-top-five-team-lose/4848316002/,110166,134,text/html
https://www.usatoday.com/story/opinion/2019/07/26/special-forces-values-crisis-congress-must-investigate-fix-column/1790315001/,108861,135,text/html
https://www.usatoday.com/story/news/nation-now/2016/01/16/martin-luther-king-junior-holiday-federal-monday-january-stevie-wonder/78844042/,122881,143,text/html
https://www.usatoday.com/story/news/politics/elections/2018/08/07/2018-election-exclusive-health-care-trump-dominate-political-ads-senate-races/914978002/,125966,146,text/html
https://www.usatoday.com/story/sports/nfl/2019/07/24/nfl-training-camps-2019-five-top-story-lines-watch/1808803001/,126448,146,text/html
https://www.usatoday.com/story/opinion/2018/09/25/jeff-sessions-attorneys-general-facebook-google-twitter-column/1413271002/,101093,132,text/html
https://www.usatoday.com/story/money/2018/02/05/bon-ton-stores-chapter-11-bankruptcy-department-stores-reel/306299002/,109812,136,text/html
https://www.usatoday.com/story/news/nation/2019/08/21/florida-man-delivery-best-buy-attacks-woman-sets-her-fire/2070514001/,122945,143,text/html
https://www.usatoday.com/story/tech/2018/06/05/google-employee-activism-diversity-pentagon-shakes-up-internet-giant/665423002/,118986,141,text/html
https://www.usatoday.com/story/entertainment/music/2019/08/09/2019-music-documentaries-homecoming-free-meek-leaving-neverland-fyre-fraud-john-yoko-country-music/1958209001/,125893,146,text/html
https://www.usatoday.com/picture-gallery/travel/destinations/2019/06/28/mardi-gras-world-experience-fat-tuesday-any-day-year/1582944001/,168370,110,text/html
https://www.usatoday.com/story/life/music/2017/04/18/prince-deliverance-music-anniversary-death/100630150/,116441,136,text/html
https://www.usatoday.com/story/sports/ncaaf/2017/11/26/lawmakers-ask-questions-tennessees-potential-hiring-greg-schiano/896197001/,119024,140,text/html
https://www.usatoday.com/story/news/politics/2017/12/10/what-does-flynns-indictment-mean-vice-president-pence/935678001/,120115,145,text/html
https://www.usatoday.com/story/sports/soccer/2019/11/06/alex-morgan-pregnant-uswnt-star-plans-playing-2020-olympics/4172346002/,124010,149,text/html
https://www.usatoday.com/story/money/2019/01/29/hospital-prices-online-not-helping-patients-save-health-care-costs/2708810002/,116278,137,text/html
https://www.usatoday.com/story/tech/2018/02/01/amazons-second-headquarters-gay-groups-say-amazon-should-avoid-these-9-cities/1082126001/,118916,136,text/html
https://www.usatoday.com/story/news/nation/2018/08/24/iowa-murder-casts-spotlight-farms-hiring-undocumented-immigrants/1075320002/,123419,148,text/html
https://www.usatoday.com/story/news/politics/2018/09/26/brett-kavanaugh-senate-judiciary-committee-members-watch/1422267002/,133911,145,text/html
